Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Eddie Johnson,Fox Sports Arizona,"Durant, Kevin -- OKC","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS","Aldridge, LaMarcus -- SA","Paul, Chris -- LAC","Harden, James -- HOU","Millsap, Paul -- ATL","Nowitzki, Dirk -- DAL","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Lowry, Kyle -- TOR",2015,All-NBA
Eric Collins,Hornets Radio,"James, LeBron -- CLE","Durant, Kevin -- OKC","Horford, Al -- ATL","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Harden, James -- HOU","Paul, Chris -- LAC","Aldridge, LaMarcus -- SA","George, Paul -- IND","Drummond, Andre -- DET","Lowry, Kyle -- TOR","Walker, Kemba -- CHA",2015,All-NBA
Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,"Durant, Kevin -- OKC","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","George, Paul -- IND","Howard, Dwight -- HOU","Paul, Chris -- LAC","Lillard, Damian -- POR","Davis, Anthony -- NOP","Butler, Jimmy -- CHI","Jordan, DeAndre -- LAC","Wall, John -- WAS","Harden, James -- HOU",2015,All-NBA
Eric Reid,Fox Sports Sun,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Drummond, Andre -- DET","Thompson, Klay -- GS","Paul, Chris -- LAC","Aldridge, LaMarcus -- SA","Millsap, Paul -- ATL","Cousins, DeMarcus -- SAC","Harden, James -- HOU","Lillard, Damian -- POR",2015,All-NBA
Ernie Johnson,TNT,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Paul, Chris -- LAC","Davis, Anthony -- NOP","George, Paul -- IND","Drummond, Andre -- DET","DeRozan, DeMar -- TOR","Harden, James -- HOU",2015,All-NBA
Fran Blinebury,NBA.com,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","George, Paul -- IND","Drummond, Andre -- DET","Lillard, Damian -- POR","Paul, Chris -- LAC","Aldridge, LaMarcus -- SA","Millsap, Paul -- ATL","Towns, Karl-Anthony -- MIN","Thompson, Klay -- GS","Harden, James -- HOU",2015,All-NBA
Frank Isola,Sirius Radio/New York Daily News,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","George, Paul -- IND","Jordan, DeAndre -- LAC","Lowry, Kyle -- TOR","Lillard, Damian -- POR","Millsap, Paul -- ATL","Towns, Karl-Anthony -- MIN","Davis, Anthony -- NOP","Paul, Chris -- LAC","Thomas, Isaiah -- BOS",2015,All-NBA
Fred McLeod,Fox Sports Ohio,"James, LeBron -- CLE","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Davis, Anthony -- NOP","Jordan, DeAndre -- LAC","DeRozan, DeMar -- TOR","Paul, Chris -- LAC","George, Paul -- IND","Green, Draymond -- GS","Drummond, Andre -- DET","Lillard, Damian -- POR","Harden, James -- HOU",2015,All-NBA
Gary Gerould,Comcast SportsNet-CA,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Davis, Anthony -- NOP","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Paul, Chris -- LAC","Thompson, Klay -- GS","Aldridge, LaMarcus -- SA","Millsap, Paul -- ATL","Jordan, DeAndre -- LAC","Harden, James -- HOU","Lillard, Damian -- POR",2015,All-NBA
Gary Washburn,Boston Globe,"James, LeBron -- CLE","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","George, Paul -- IND","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Harden, James -- HOU","Lowry, Kyle -- TOR","Millsap, Paul -- ATL","Green, Draymond -- GS","Towns, Karl-Anthony -- MIN","Thomas, Isaiah -- BOS","Lillard, Damian -- POR",2015,All-NBA
George Blaha,WMGC / Fox Sports Detroit,"James, LeBron -- CLE","Green, Draymond -- GS","Cousins, DeMarcus -- SAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Davis, Anthony -- NOP","Paul, Chris -- LAC","Lowry, Kyle -- TOR","George, Paul -- IND","Butler, Jimmy -- CHI","Drummond, Andre -- DET","Wall, John -- WAS","Harden, James -- HOU",2015,All-NBA
Grant Napear,Comcast SportsNet-CA,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","George, Paul -- IND","Drummond, Andre -- DET","Thompson, Klay -- GS","Paul, Chris -- LAC","Millsap, Paul -- ATL","Butler, Jimmy -- CHI","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Lillard, Damian -- POR",2015,All-NBA
Howard Beck,Bleacher Report,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Whiteside, Hassan -- MIA","Paul, Chris -- LAC","Lowry, Kyle -- TOR","George, Paul -- IND","Thompson, Klay -- GS","Towns, Karl-Anthony -- MIN","Lillard, Damian -- POR","Harden, James -- HOU",2015,All-NBA
Hubie Brown,ESPN,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Drummond, Andre -- DET","Paul, Chris -- LAC","Thompson, Klay -- GS","Aldridge, LaMarcus -- SA","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Harden, James -- HOU",2015,All-NBA
Ira Winderman,South Florida Sun Sentinel,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Millsap, Paul -- ATL","Durant, Kevin -- OKC","Davis, Anthony -- NOP","Harden, James -- HOU","Lillard, Damian -- POR","Horford, Al -- ATL","George, Paul -- IND","Cousins, DeMarcus -- SAC","Thomas, Isaiah -- BOS","Lowry, Kyle -- TOR",2015,All-NBA
