Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Paul Flannery,SB Nation,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Green, Danny (TOR)","Bledsoe, Eric (MIL)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Smart, Marcus (BOS)",2019,All-Defensive
Reid Forgrave,CBSSports.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Turner, Myles (IND)","Thompson, Klay (GSW)","Green, Danny (TOR)",2019,All-Defensive
Joe Freeman,The Oregonian,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Leonard, Kawhi (TOR)","Green, Draymond (GSW)","Turner, Myles (IND)","Green, Danny (TOR)","Holiday, Jrue (NOP)",2019,All-Defensive
Rosalyn Gold-Onwude,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Holiday, Jrue (NOP)","Leonard, Kawhi (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Smart, Marcus (BOS)",2019,All-Defensive
Vince Goodwill,Yahoo! Sports,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Leonard, Kawhi (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Simmons, Ben (PHI)",2019,All-Defensive
Michael Grange,Rogers Sportsnet,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Turner, Myles (IND)","Thompson, Klay (GSW)","Bledsoe, Eric (MIL)",2019,All-Defensive
Jared Greenberg,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Green, Danny (TOR)","Turner, Myles (IND)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Beverley, Patrick (LAC)",2019,All-Defensive
Will Guillory,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Beverley, Patrick (LAC)","Tucker, PJ (HOU)","Leonard, Kawhi (TOR)","Turner, Myles (IND)","Smart, Marcus (BOS)","White, Derrick (SAS)",2019,All-Defensive
Kevin Harlan,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Green, Danny (TOR)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Smart, Marcus (BOS)",2019,All-Defensive
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Siakam, Pascal (TOR)","Tucker, PJ (HOU)","Turner, Myles (IND)","Holiday, Jrue (NOP)","Beverley, Patrick (LAC)",2019,All-Defensive
Chris Haynes,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Thompson, Klay (GSW)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Turner, Myles (IND)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2019,All-Defensive
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Green, Draymond (GSW)","Millsap, Paul (DEN)","Embiid, Joel (PHI)","Green, Danny (TOR)","Thompson, Klay (GSW)",2019,All-Defensive
Erik Horne,The Oklahoman,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Tucker, PJ (HOU)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Green, Danny (TOR)","Bledsoe, Eric (MIL)",2019,All-Defensive
Lisa Hsu,Tencent,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Green, Danny (TOR)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Smart, Marcus (BOS)",2019,All-Defensive
Cassidy Hubbarth,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thompson, Klay (GSW)","Embiid, Joel (PHI)","Leonard, Kawhi (TOR)","Turner, Myles (IND)","Bledsoe, Eric (MIL)","Green, Danny (TOR)",2019,All-Defensive
Kelly Iko,The Athletic,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)","Tucker, PJ (HOU)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","White, Derrick (SAS)",2019,All-Defensive
Frank Isola,Sirius Radio/The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Siakam, Pascal (TOR)","Turner, Myles (IND)","Embiid, Joel (PHI)","Green, Danny (TOR)","Thompson, Klay (GSW)",2019,All-Defensive
Mark Jackson,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Thompson, Klay (GSW)","Leonard, Kawhi (TOR)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Bledsoe, Eric (MIL)","Holiday, Jrue (NOP)",2019,All-Defensive
K.C. Johnson,Chicago Tribune,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Bledsoe, Eric (MIL)","Thompson, Klay (GSW)",2019,All-Defensive
Mark Jones,ESPN,"George, Paul (OKC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Green, Danny (TOR)","Smart, Marcus (BOS)","Tucker, PJ (HOU)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Thompson, Klay (GSW)","Butler, Jimmy (PHI)",2019,All-Defensive
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Young, Thaddeus (IND)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Green, Danny (TOR)","Bledsoe, Eric (MIL)",2019,All-Defensive
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","White, Derrick (SAS)","Bledsoe, Eric (MIL)",2019,All-Defensive
Nira Khurana,Perform,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Leonard, Kawhi (TOR)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Thompson, Klay (GSW)",2019,All-Defensive
Kennegh Lau,BesTV,"Green, Draymond (GSW)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Thompson, Klay (GSW)","Bell, Jordan (GSW)","Durant, Kevin (GSW)","Adebayo, Bam (MIA)","Ferguson, Terrance (OKC)","Gilgeous-Alexander, Shai (LAC)",2019,All-Defensive
Kristen Ledlow,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Leonard, Kawhi (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Green, Danny (TOR)",2019,All-Defensive
Brian Lewis,New York Post,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Covington, Robert (MIN)","Tucker, PJ (HOU)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Simmons, Ben (PHI)",2019,All-Defensive
Massimo Pegna,La Gazzetta dello Sport,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Irving, Kyrie (BOS)","Lillard, Damian (POR)",2019,All-Defensive
Zach Lowe,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Green, Danny (TOR)",2019,All-Defensive
Tim MacMahon,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Green, Danny (TOR)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Turner, Myles (IND)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)",2019,All-Defensive
Jackie MacMullan,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Green, Danny (TOR)","White, Derrick (SAS)","Green, Draymond (GSW)","Anderson, Kyle (MEM)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)",2019,All-Defensive
Brian Mahoney,Associated Press,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Thompson, Klay (GSW)","Tucker, PJ (HOU)","Horford, Al (BOS)","Turner, Myles (IND)","Smart, Marcus (BOS)","Green, Danny (TOR)",2019,All-Defensive
Rob Mahoney,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Green, Danny (TOR)","Holiday, Jrue (NOP)",2019,All-Defensive
Maxime Malet,L'Equipe,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Thompson, Klay (GSW)","Green, Draymond (GSW)","Turner, Myles (IND)","Embiid, Joel (PHI)","Lowry, Kyle (TOR)","Smart, Marcus (BOS)",2019,All-Defensive
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Turner, Myles (IND)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Green, Danny (TOR)","Holiday, Jrue (NOP)",2019,All-Defensive
Diego Martinez,Reforma,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Harden, James (HOU)","Westbrook, Russell (OKC)","Turner, Myles (IND)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Fox, De'Aaron (SAC)",2019,All-Defensive
Jeff McDonald,San Antonio Express-News,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Leonard, Kawhi (TOR)","Middleton, Khris (MIL)","Embiid, Joel (PHI)","Green, Danny (TOR)","Richardson, Josh (MIA)",2019,All-Defensive
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Leonard, Kawhi (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Holiday, Jrue (NOP)",2019,All-Defensive
Reggie Miller,Turner Sports,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Holiday, Jrue (NOP)","Leonard, Kawhi (TOR)","Tucker, PJ (HOU)","Turner, Myles (IND)","Thompson, Klay (GSW)","Smart, Marcus (BOS)",2019,All-Defensive
Rachel Nichols,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Tucker, PJ (HOU)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Bledsoe, Eric (MIL)",2019,All-Defensive
Kevin O'Connor,The Ringer,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","White, Derrick (SAS)",2019,All-Defensive
Bill Oram,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Green, Danny (TOR)","Thompson, Klay (GSW)","Tucker, PJ (HOU)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Holiday, Jrue (NOP)",2019,All-Defensive
Dave Pasch,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Green, Danny (TOR)","White, Derrick (SAS)","Leonard, Kawhi (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Butler, Jimmy (PHI)",2019,All-Defensive
Kevin Pelton,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","White, Derrick (SAS)","Green, Danny (TOR)","Covington, Robert (MIN)","Green, Draymond (GSW)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)",2019,All-Defensive
Keith Pompey,Philadelphia Inqurier and Daily News,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Leonard, Kawhi (TOR)","Butler, Jimmy (PHI)","Turner, Myles (IND)","Westbrook, Russell (OKC)","Paul, Chris (HOU)",2019,All-Defensive
Duane Rankin,Arizona Republic,"George, Paul (OKC)","Leonard, Kawhi (TOR)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Butler, Jimmy (PHI)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Beverley, Patrick (LAC)","Westbrook, Russell (OKC)",2019,All-Defensive
Tim Reynolds,Associated Press,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Smart, Marcus (BOS)","Turner, Myles (IND)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Green, Danny (TOR)","White, Derrick (SAS)",2019,All-Defensive
Josh Robbins,The Athletic,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Beverley, Patrick (LAC)","Embiid, Joel (PHI)","Green, Draymond (GSW)","Turner, Myles (IND)","Thompson, Klay (GSW)","Bledsoe, Eric (MIL)",2019,All-Defensive
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thompson, Klay (GSW)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Green, Danny (TOR)","Bledsoe, Eric (MIL)",2019,All-Defensive
John Schuhmann,NBA.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Green, Danny (TOR)","Smart, Marcus (BOS)","Favors, Derrick (UTA)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Bledsoe, Eric (MIL)","Paul, Chris (HOU)",2019,All-Defensive
Guillermo Schutz,Televisa,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)","Durant, Kevin (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Green, Danny (TOR)",2019,All-Defensive
Dennis Scott,Turner Sports,"George, Paul (OKC)","Leonard, Kawhi (TOR)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Westbrook, Russell (OKC)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Brown, Jaylen (BOS)","Beverley, Patrick (LAC)",2019,All-Defensive
Andrew Sharp,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Holiday, Jrue (NOP)","Turner, Myles (IND)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Thompson, Klay (GSW)",2019,All-Defensive
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (TOR)","Gobert, Rudy (UTA)","White, Derrick (SAS)","Green, Danny (TOR)","George, Paul (OKC)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Holiday, Jrue (NOP)",2019,All-Defensive
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Holiday, Jrue (NOP)","Siakam, Pascal (TOR)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Smart, Marcus (BOS)",2019,All-Defensive
Mike Singer,Denver Post,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Green, Danny (TOR)","Bledsoe, Eric (MIL)","Siakam, Pascal (TOR)","Millsap, Paul (DEN)","Turner, Myles (IND)","Thompson, Klay (GSW)","Holiday, Jrue (NOP)",2019,All-Defensive
Anthony Slater,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thompson, Klay (GSW)","Tucker, PJ (HOU)","Green, Draymond (GSW)","Turner, Myles (IND)","Holiday, Jrue (NOP)","Bledsoe, Eric (MIL)",2019,All-Defensive
Doug Smith,Toronto Star,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Green, Danny (TOR)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2019,All-Defensive
Sekou Smith,NBA.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Holiday, Jrue (NOP)","Leonard, Kawhi (TOR)","Horford, Al (BOS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Smart, Marcus (BOS)",2019,All-Defensive
